ID,species,location,latitude,longitude,new_subfamily_names,new_feeding_groups,reference
199,Nasutitermes ephratae,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
200,Coptotermes formosanus,NA,,,Heterotermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
201,Cryptotermes cavifrons,NA,,,Kalotermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
202,Prorhinotermes simplex,NA,,,Rhinotermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
203,Pterotermes occidentis,NA,,,Kalotermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
204,Reticulitermes flavipes,NA,,,Heterotermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
205,Zootermopsis angusticollis,NA,,,Archotermopsinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
206,Amitermes sp.,NA,,,Amitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
207,Gnathamitermes perplexus,NA,,,Amitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
208,Microcerotermes parvus,NA,,,Amitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
209,Nasutitermes arborum,NA,,,Nasutitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
210,Nasutitermes costalis,NA,,,Nasutitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
211,Nasutitermes lujae,NA,,,Nasutitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
212,Nasutitermes nigriceps,NA,,,Nasutitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
213,Tenuirostritermes tenuirostris,NA,,,Nasutitermitinae,Wood feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
214,Trinervitermes rhodesiensis,NA,,,Nasutitermitinae,Grass feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
215,Macrotermes mulleri,NA,,,Macrotermitinae,Fungus grower,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
216,Pseudacanthotermes militaris,NA,,,Macrotermitinae,Fungus grower,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
217,Pseudacanthotermes spiniger,NA,,,Macrotermitinae,Fungus grower,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
218,Crenetermes albotarsalis,NA,,,Cubitermitinae,Soil feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
219,Cubitermes fungifaber,NA,,,Cubitermitinae,Soil feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
220,Cubitermes speciosus,NA,,,Cubitermitinae,Soil feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
221,Noditermes sp.,NA,,,Cubitermitinae,Soil feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
222,Procubitermes sp.,NA,,,Cubitermitinae,Soil feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
223,Thoracotermes macrothorax,NA,,,Cubitermitinae,Soil feeder,"Brauman, A., Kane, M. D., Labat, M., & Breznak, J. A. (1992). Genesis of acetate and methane by gut bacteria of nutritionally diverse termites. Science, 257(5075), 1384-1387."
224,Reticulitermes flavipes,"Michigan, USA",45.001,-86.261,Heterotermitinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
225,Coptotermes formosanus,NA,,,Heterotermitinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
226,Prorhinotermes simplex,"New York, USA",40.697,-73.98,Rhinotermitinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
227,Pterotermes occidentis,NA,,,Kalotermitinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
228,Zootermopsis angusticollis,"Massachusetts, USA",42.036,-71.684,Archotermopsinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
229,Amitermes sp.,NA,,,Amitermitinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
230,Gnathamitermes perplexus,NA,,,Amitermitinae,Wood feeder,"Breznak, J. A., & Kane, M. D. (1990). Microbial H2/CO2 acetogenesis in animal guts: nature and nutritional significance. FEMS microbiology reviews, 7(3-4), 309-313."
231,Nasutitermes costalis,"Massachusetts, USA",42.036,-71.684,Nasutitermitinae,Wood feeder,"Breznak, J. A., & Switzer, J. M. (1986). Acetate synthesis from H2 plus CO2 by termite gut microbes. Applied and Environmental Microbiology, 52(4), 623-630."
232,Nasutitermes nigriceps,"Massachusetts, USA",42.036,-71.684,Nasutitermitinae,Wood feeder,"Breznak, J. A., & Switzer, J. M. (1986). Acetate synthesis from H2 plus CO2 by termite gut microbes. Applied and Environmental Microbiology, 52(4), 623-630."
233,Tenuirostritermes tenuirostris,NA,,,Nasutitermitinae,Wood feeder,"Breznak, J. A., & Switzer, J. M. (1986). Acetate synthesis from H2 plus CO2 by termite gut microbes. Applied and Environmental Microbiology, 52(4), 623-630."
234,Zootermopsis angusticollis,"California, USA",36.587,-121.947,Archotermopsinae,Wood feeder,"Messer, A. C., & Lee, M. J. (1989). Effect of chemical treatments on methane emission by the hindgut microbiota in the termiteZootermopsis angusticollis. Microbial ecology, 18(3), 275-284."
235,Mastotermes darwiniensis,"Darwin, Australia",-12.5,131,Mastotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
236,Nasutitermes exitiosus,"Australia, Victoria",-37.5,145,Nasutitermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
237,Coptotermes acinaciformis,"Darwin, Australia",-12.5,131,Heterotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
238,Coptotermes lacteus,"Australia, Canberra",-35,149,Heterotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
239,Zootermopsis nevadensis,USA,,,Archotermopsinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
240,Zootermopsis angusticollis,"USA, Oregon",45.5,-123,Archotermopsinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
241,Reticulitermes tibialis,USA,,,Heterotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
242,Gnathamitermes perplexus,USA,,,Amitermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
243,Reticulitermes flavipes,USA,,,Heterotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
244,Coptotermes formosanus,"USA, Hawaii",20.5,-156,Heterotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
245,Cryptotermes brevis,NA,,,Kalotermitinae,Wood feeder,"Fraser, P. J., Rasmussen, R. A., Creffield, J. W., French, J. R., & Khalil, M. A. K. (1986). Termites and global methane—Another assessment. Journal of Atmospheric Chemistry, 4(3), 295-310."
247,Reticulitermes tibialis,NA,,,Heterotermitinae,Wood feeder,"Zimmerman, P. R., Greenberg, J. P., Wandiga, S. O., & Crutzen, P. J. (1982). Termites: a potentially large source of atmospheric methane, carbon dioxide, and molecular hydrogen. Science, 218(4572), 563-565."
248,Gnathamitermes perplexus,NA,,,Amitermitinae,Wood feeder,"Zimmerman, P. R., Greenberg, J. P., Wandiga, S. O., & Crutzen, P. J. (1982). Termites: a potentially large source of atmospheric methane, carbon dioxide, and molecular hydrogen. Science, 218(4572), 563-565."
249,Coptotermes formosanus,NA,,,Heterotermitinae,Wood feeder,"Breznak, J. A. (1975). Symbiotic relationships between termites and their intestinal microbiota."
250,Reticulitermes flavipes,NA,,,Heterotermitinae,Wood feeder,"Breznak, J. A. (1975). Symbiotic relationships between termites and their intestinal microbiota."
251,Cryptotermes brevis,NA,,,Kalotermitinae,Wood feeder,"Breznak, J. A. (1975). Symbiotic relationships between termites and their intestinal microbiota."
